gene_id,U_statistic,p_value,bonferonni_p_value,group
ENSG00000144736,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000176890,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000271793,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000272677,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000132394,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000141956,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000113739,2.0,2.1480241796e-06,0.0399403615955,M2_12+M6_07
ENSG00000251503,3.0,3.28338933124e-06,0.061051341225,M2_12+M6_07
ENSG00000128645,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000254721,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000038210,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000165138,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000165195,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000132182,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000230530,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000241322,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000225880,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000272923,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000273478,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000173456,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000167992,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000269591,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000113083,4.0,4.9805801385e-06,0.0926089070952,M2_12+M6_07
ENSG00000132825,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000089163,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000180917,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000118898,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000095209,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000215417,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000187535,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000249815,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000157911,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000234818,0.0,5.4284750812e-06,0.10093706566,M2_12+M6_07
ENSG00000182871,5.0,7.49749451031e-06,0.139408412925,M2_12+M6_07
ENSG00000164265,1.0,7.90351371731e-06,0.14695793406,M2_12+M6_07
ENSG00000131378,1.0,7.90351371731e-06,0.14695793406,M2_12+M6_07
ENSG00000170631,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000151093,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000231646,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000272755,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000255435,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000100038,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000243230,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000235750,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000112715,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000260879,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000259113,6.0,1.12004532279e-05,0.208261227319,M2_12+M6_07
ENSG00000117480,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000130957,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000198855,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000103335,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000197948,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000124610,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000251606,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000259332,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000271303,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000232679,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000183621,2.0,1.14326696618e-05,0.212579059692,M2_12+M6_07
ENSG00000248668,3.0,1.64309968657e-05,0.305517955721,M2_12+M6_07
ENSG00000101844,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000266642,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000260725,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000167536,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000227888,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000254979,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000251175,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000224525,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000114859,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000263212,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000233875,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000197043,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000070371,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000103510,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000198673,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000164169,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000132613,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000239945,0.0,1.9700512813e-05,0.366311335246,M2_12+M6_07
ENSG00000234650,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000267838,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000166268,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000230124,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000119922,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000187961,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000198838,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000116604,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000245385,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000250838,4.0,2.34624240566e-05,0.436260312908,M2_12+M6_07
ENSG00000204386,1.0,2.74032129222e-05,0.509535341075,M2_12+M6_07
ENSG00000144362,1.0,2.74032129222e-05,0.509535341075,M2_12+M6_07
ENSG00000145246,5.0,3.32873040281e-05,0.618944131099,M2_12+M6_07
ENSG00000130038,5.0,3.32873040281e-05,0.618944131099,M2_12+M6_07
ENSG00000105204,2.0,3.7903499791e-05,0.704777675115,M2_12+M6_07
