gene_id,U_statistic,p_value,bonferonni_p_value,group,gene_name
ENSG00000170615,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,SLC26A5
ENSG00000141384,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,TAF4B
ENSG00000260000,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,RP3-467N11.1
ENSG00000264668,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,ZFP41
ENSG00000204792,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,AC104135.3
ENSG00000267686,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,RP11-795H16.3
ENSG00000240211,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,RP11-758P17.3
ENSG00000111783,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,RFX4
ENSG00000168038,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,ULK4
ENSG00000268189,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,AC005785.2
ENSG00000242396,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,RP11-67L3.5
ENSG00000166997,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,CNPY4
ENSG00000160404,2.0,1.76998610733e-07,0.00329111216797,M1_09+M6_06,TOR2A
ENSG00000250479,3.0,2.96799190467e-07,0.00551868414753,M1_09+M6_06,CHCHD10
ENSG00000180694,3.0,2.96799190467e-07,0.00551868414753,M1_09+M6_06,TMEM64
ENSG00000103343,3.0,2.96799190467e-07,0.00551868414753,M1_09+M6_06,ZNF174
ENSG00000267007,4.0,4.93002101936e-07,0.0091668810834,M1_09+M6_06,CTB-31O20.3
ENSG00000238250,4.0,4.93002101936e-07,0.0091668810834,M1_09+M6_06,ST6GAL2-IT1
ENSG00000127863,4.0,4.93002101936e-07,0.0091668810834,M1_09+M6_06,TNFRSF19
ENSG00000229334,4.0,4.93002101936e-07,0.0091668810834,M1_09+M6_06,AC046143.3
ENSG00000013573,4.0,4.93002101936e-07,0.0091668810834,M1_09+M6_06,DDX11
ENSG00000079335,4.0,4.93002101936e-07,0.0091668810834,M1_09+M6_06,CDC14A
ENSG00000078900,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,TP73
ENSG00000103248,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,MTHFSD
ENSG00000104901,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,DKKL1
ENSG00000259992,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,RP11-77K12.8
ENSG00000184785,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,SMIM10
ENSG00000187942,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,LDLRAD2
ENSG00000173156,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,RHOD
ENSG00000165175,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,MID1IP1
ENSG00000243749,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,ZMYM6NB
ENSG00000136383,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,ALPK3
ENSG00000183963,0.0,1.01872631095e-13,1.89421970259e-09,M1_08+M6_04,SMTN
ENSG00000172819,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,RARG
ENSG00000111780,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,AL021546.6
ENSG00000117154,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,IGSF21
ENSG00000068831,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,RASGRP2
ENSG00000145685,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,LHFPL2
ENSG00000179476,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,C14orf28
ENSG00000172183,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,ISG20
ENSG00000270101,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,RP11-24B19.3
ENSG00000121060,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,TRIM25
ENSG00000153443,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,UBALD1
ENSG00000196363,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,WDR5
ENSG00000253961,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,RP11-363L24.3
ENSG00000141295,0.0,7.11541748379e-10,1.32304072694e-05,M1_08+M6_04,SCRN2
ENSG00000234465,1.0,1.42763960813e-09,2.65455308736e-05,M1_08+M6_04,PINLYP
ENSG00000254705,2.0,2.82887347017e-09,5.26000733043e-05,M1_08+M6_04,RP11-675M1.2
ENSG00000119703,2.0,2.82887347017e-09,5.26000733043e-05,M1_08+M6_04,ZC2HC1C
ENSG00000100985,2.0,2.82887347017e-09,5.26000733043e-05,M1_08+M6_04,MMP9
ENSG00000261597,2.0,2.82887347017e-09,5.26000733043e-05,M1_08+M6_04,RP11-353B9.1
ENSG00000116117,2.0,2.82887347017e-09,5.26000733043e-05,M1_08+M6_04,PARD3B
ENSG00000186193,2.0,2.82887347017e-09,5.26000733043e-05,M1_08+M6_04,SAPCD2
ENSG00000101400,2.0,2.82887347017e-09,5.26000733043e-05,M1_08+M6_04,SNTA1
ENSG00000110046,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,ATG2A
ENSG00000232721,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,RP11-403I13.5
ENSG00000256861,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,RP11-512M8.5
ENSG00000074219,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,TEAD2
ENSG00000144857,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,BOC
ENSG00000197444,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,OGDHL
ENSG00000255468,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,RP11-867G23.8
ENSG00000072571,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,HMMR
ENSG00000254835,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,RNF185-AS1
ENSG00000141179,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,PCTP
ENSG00000168274,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,HIST1H2AE
ENSG00000126453,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,BCL2L12
ENSG00000176058,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,TPRN
ENSG00000142798,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,HSPG2
ENSG00000006327,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,TNFRSF12A
ENSG00000162757,0.0,6.11851651624e-08,0.00113767696103,M1_08+M6_04,C1orf74
ENSG00000079313,1.0,1.04560042523e-07,0.00194418943067,M1_08+M6_04,REXO1
ENSG00000170775,27.0,1.69891912544e-07,0.00315897022184,M1_08+M6_04,GPR37
ENSG00000148331,27.0,1.69891912544e-07,0.00315897022184,M1_08+M6_04,ASB6
ENSG00000129195,27.0,1.69891912544e-07,0.00315897022184,M1_08+M6_04,FAM64A
ENSG00000120896,27.0,1.69891912544e-07,0.00315897022184,M1_08+M6_04,SORBS3
ENSG00000017483,27.0,1.69891912544e-07,0.00315897022184,M1_08+M6_04,SLC38A5
ENSG00000203739,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,RP11-296O14.3
ENSG00000169683,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,LRRC45
ENSG00000267007,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,CTB-31O20.3
ENSG00000229751,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,RP11-142M10.2
ENSG00000196653,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,ZNF502
ENSG00000034152,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,MAP2K3
ENSG00000166997,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,CNPY4
ENSG00000237836,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,PHKA2-AS1
ENSG00000242396,2.0,1.76998610733e-07,0.00329111216797,M1_08+M6_04,RP11-67L3.5
ENSG00000197177,3.0,2.96799190467e-07,0.00551868414753,M1_08+M6_04,GPR123
ENSG00000100290,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,BIK
ENSG00000263683,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,RP4-777O23.1
ENSG00000226352,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,RP11-523H24.3
ENSG00000168040,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,FADD
ENSG00000255310,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,AF131215.2
ENSG00000188566,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,NDOR1
ENSG00000177106,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,EPS8L2
ENSG00000272851,4.0,4.93002101936e-07,0.0091668810834,M1_08+M6_04,RP11-801F7.1
